MEMSET: [OK][OK][OK][OK][OK]						MEMSET END
BZERO: [OK][OK][OK][OK]						BZERO END
MEMCPY: [OK][OK][OK][OK][OK][OK][OK]					MEMCPY END
MEMCCPY: [OK][OK][OK][OK]						MEMCCPY END
MEMMOVE: [OK][OK][OK][OK][OK][OK][OK]					MEMMOVE END
MEMCHR: [OK][OK][OK][OK][OK][OK]					MEMCHR END
MEMCMP: [OK][OK][OK][OK][OK][OK][OK]					MEMCMP END
STRLEN: [OK][OK][OK][OK][OK][OK]					STRLEN END
STRLCPY: [OK][OK][OK][OK][OK][OK][OK]					STRLCPY END
STRLCAT: [OK][OK][OK][OK][OK][OK][OK][OK]				STRLCAT END
STRCHR: [OK][OK][OK][OK][OK][OK][OK][OK]				STRCHR END
STRRCHR: [OK][OK][OK][OK][OK][OK][OK][OK]				STRRCHR END
STRNSTR: [OK][OK][OK][OK][OK][OK][OK][OK]				STRNSTR END
ATOI: [OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK]	ATOI END
ISALPHA: [OK]								ISALPHA END
ISDIGIT: [OK]								ISDIGIT END
ISALNUM: [OK]								ISALNUM END
ISASCII: [OK]								ISASCII END
ISPRINT: [OK]								ISPRINT END
TOUPPER: [OK]								TOUPPER END
TOLOWER: [OK]								TOLOWER END
CALLOC: [OK][OK][OK][OK][OK]						CALLOC END
STRDUP: [OK][OK][OK][OK]						STRDUP END
SUBSTR: [OK][OK][OK][OK][OK][OK][OK][OK]				SUBSTR END
STRJOIN: [OK][OK][OK][OK][OK]						STRJOIN END
STRTRIM: [OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK]			STRTRIM END
FT_SPLIT: [OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK][OK]	FT_SPLIT END
ITOA: [OK][OK][OK][OK][OK][OK]					ITOA END
STRMAPI: [OK][OK][OK][OK][OK][OK][OK]					STRMAPI END
